year,player,pos,age,team,g,gs,mp,pts,trb,ast,fgpct,threeppct,ftpct
1971,Moe Barr,G,26,CIN,31,0,145.0,61.0,20.0,28.0,40.3,,84.6
1971,Fred Foster,SF,24,PHI,66,0,888.0,362.0,147.0,61.0,40.3,,69.9
1971,Al Attles,PG,34,SFW,34,0,321.0,68.0,40.0,58.0,40.7,,58.5
1971,Nick Jones,SG,25,SFW,81,0,1183.0,561.0,110.0,113.0,43.0,,73.5
1971,Chet Walker*,SF,30,CHI,81,0,2927.0,1780.0,588.0,179.0,46.5,,85.9
1971,Jack Marin,SF,26,BAL,82,0,2920.0,1542.0,513.0,217.0,46.0,,84.8
1972,Jim King,SG,30,CHI,73,0,1014.0,413.0,81.0,101.0,45.5,,78.8
1972,Phil Chenier,SG,21,BAL,81,0,2481.0,996.0,268.0,205.0,41.5,,73.7
1972,Earl Monroe*,PG,27,BAL,3,0,103.0,65.0,8.0,10.0,40.6,,72.2
1972,Steve Kuberski,PF,24,BOS,71,0,1128.0,450.0,320.0,46.0,41.7,,78.4
1972,Lamar Green,PF,24,PHO,67,0,991.0,332.0,348.0,45.0,44.6,,73.3
1972,Gil McGregor,PF,22,CIN,42,0,532.0,171.0,148.0,18.0,36.3,,69.6
1972,Tom Sanders*,SF,33,BOS,82,0,1631.0,541.0,353.0,98.0,41.0,,81.6
1972,Charlie Yelverton,SG,23,POR,69,0,1227.0,545.0,201.0,81.0,38.9,,70.7
1972,Em Bryant,PG,33,BUF,54,0,1223.0,277.0,127.0,206.0,45.9,,60.0
1972,Ron Knight,SF,24,POR,49,0,483.0,255.0,116.0,33.0,43.6,,50.0
1972,Herm Gilliam,PG,25,ATL,82,0,2337.0,835.0,335.0,377.0,44.6,,83.8
1973,Terry Driscoll,C-PF,25,TOT,60,0,964.0,323.0,300.0,55.0,42.8,,69.4
1973,Sidney Wicks,PF,23,POR,80,0,3152.0,1906.0,870.0,440.0,45.2,,72.3
1973,Jeff Halliburton,SG,23,TOT,55,0,787.0,415.0,108.0,96.0,43.4,,80.7
1973,Dave Stallworth,SF,31,BAL,73,0,1217.0,438.0,236.0,112.0,41.4,,77.2
1973,Dick Garrett,SG,26,BUF,78,0,1805.0,778.0,209.0,217.0,41.9,,87.3
1973,Jack Marin,SF,28,HOU,81,0,3019.0,1496.0,499.0,291.0,46.8,,84.9
1973,Dave Wohl,PG,23,TOT,78,0,1933.0,611.0,109.0,326.0,44.7,,77.4
1973,Justus Thigpen,SG,25,DET,18,0,99.0,46.0,9.0,8.0,40.4,,0.0
1973,Stu Lantz,SG,26,DET,51,0,1603.0,490.0,172.0,138.0,40.7,,80.0
1973,Don May,SF,27,PHI,26,0,602.0,309.0,143.0,43.0,44.1,,85.5
1973,Dick Gibbs,SF,24,KCO,66,0,733.0,207.0,94.0,61.0,36.2,,74.6
1974,Ed Ratleff,SF,23,HOU,81,0,1773.0,611.0,286.0,181.0,43.4,,79.8
1974,Bernie Fryer,SG,24,POR,80,0,1674.0,559.0,159.0,279.0,46.0,,79.3
1974,Jim Cleamons,PG,24,CLE,81,0,1642.0,565.0,230.0,227.0,43.3,,69.9
1974,Greg Smith,SF,27,POR,67,0,878.0,246.0,189.0,78.0,43.4,,60.8
1974,Henry Bibby,PG,24,NYK,66,0,986.0,493.0,133.0,91.0,45.2,,83.0
1974,John Gianelli,C,23,NYK,70,0,1423.0,508.0,343.0,77.0,47.9,,76.0
1974,Rick Barry*,SF,29,GSW,80,0,2918.0,2009.0,540.0,484.0,45.6,,89.9
1974,Stu Lantz,SG,27,DET,50,0,980.0,447.0,113.0,97.0,42.7,,84.8
1974,Cornell Warner,C,25,TOT,72,0,1405.0,433.0,397.0,71.0,49.9,,74.6
1974,Kenny McIntosh,SF,25,SEA,69,0,2056.0,511.0,361.0,94.0,38.9,,60.7
1975,Connie Hawkins*,PF,32,LAL,43,0,1026.0,346.0,198.0,120.0,42.9,,68.7
1975,Tom Van,SF,31,PHI,9,0,273.0,126.0,29.0,16.0,42.2,,68.3
1975,Walt Bellamy*,C,35,NOJ,1,0,14.0,6.0,5.0,0.0,100.0,,100.0
1975,Earl Williams,C,23,PHO,79,0,1040.0,371.0,456.0,95.0,41.4,,43.7
1975,Neal Walk,C,26,NYK,30,0,274.0,116.0,77.0,22.0,40.9,,88.0
1975,Bob Rule,C,30,MIL,1,0,11.0,0.0,0.0,2.0,0.0,,0.0
1975,John Johnson,SF,27,POR,80,0,2540.0,1290.0,501.0,240.0,48.7,,78.4
1975,John Hummer,PF,26,SEA,43,0,568.0,96.0,104.0,38.0,38.0,,27.5
1975,Leon Benbow,SG,24,CHI,39,0,252.0,85.0,38.0,25.0,37.2,,83.3
1975,Neal Walk,C,26,TOT,67,0,1125.0,482.0,339.0,123.0,41.9,,81.9
1975,Glenn McDonald,SF,22,BOS,62,0,395.0,168.0,68.0,24.0,38.5,,75.7
1976,Phil Jackson*,PF,30,NYK,80,0,1461.0,480.0,343.0,105.0,47.8,,73.3
1976,Kevin Stacom,SG,24,BOS,77,0,1114.0,408.0,161.0,128.0,43.9,,74.7
1976,Bob Bigelow,SF,22,KCK,31,0,163.0,56.0,29.0,9.0,34.0,,72.7
1976,Earl Williams,C,24,DET,46,0,562.0,168.0,251.0,18.0,48.0,,50.0
1976,Nate Thurmond*,C,34,CHI,13,0,260.0,48.0,71.0,26.0,44.4,,44.4
1976,Jamaal Wilkes*,SF,22,GSW,82,0,2716.0,1461.0,720.0,167.0,46.3,,77.2
1976,Mickey Johnson,PF,23,CHI,81,0,2390.0,1239.0,758.0,130.0,46.3,,78.6
1976,Lou Hudson,SG,31,ATL,81,0,2558.0,1375.0,300.0,214.0,47.2,,81.4
1976,Dave Bing*,PG,32,WSB,82,0,2945.0,1326.0,237.0,492.0,44.7,,78.7
1976,Greg Smith,SF,29,POR,1,0,3.0,0.0,0.0,0.0,0.0,,0.0
1976,Bob McAdoo*,C,24,BUF,78,0,3328.0,2427.0,965.0,315.0,48.7,,76.2
1977,Willie Norwood,SF,29,SEA,76,0,1647.0,583.0,292.0,99.0,46.9,,73.3
1977,Larry McNeill,PF,26,GSW,16,0,137.0,86.0,49.0,3.0,47.5,,90.3
1977,John Mengelt,SG,27,CHI,61,0,1178.0,507.0,110.0,114.0,45.6,,78.8
1977,Fred Carter,SG,31,MIL,47,0,875.0,390.0,93.0,104.0,41.6,,75.3
1977,Bob Lanier*,C,28,DET,64,0,2446.0,1616.0,745.0,214.0,53.4,,81.8
1977,Tom Henderson,PG,25,TOT,87,0,2791.0,975.0,239.0,598.0,44.9,,74.4
1977,Henry Dickerson,PG,25,ATL,6,0,63.0,17.0,2.0,11.0,50.0,,62.5
1977,Lionel Hollins,PG,23,POR,76,0,2224.0,1119.0,210.0,313.0,43.2,,74.9
1977,Fred Carter,SG,31,PHI,14,0,237.0,96.0,24.0,21.0,42.6,,52.6
1977,Bob McAdoo*,C,25,BUF,20,0,767.0,474.0,264.0,65.0,45.5,,69.6
1977,Bird Averitt,SG,24,BUF,75,0,1136.0,589.0,78.0,134.0,37.8,,71.6
1977,Mike Green,C,25,SEA,76,0,1928.0,746.0,503.0,120.0,44.1,,70.6
1977,Don Buse,PG,26,IND,81,0,2947.0,646.0,270.0,685.0,41.6,,78.6
1977,Rudy White,SG,23,HOU,46,0,368.0,109.0,41.0,35.0,44.3,,60.0
1978,Mack Calvin,PG,30,DEN,77,0,988.0,467.0,84.0,148.0,44.1,,84.0
1978,Allan Bristow,SF,26,SAS,82,0,1481.0,666.0,257.0,194.0,47.8,,73.1
1978,Larry Moffett,SF,23,HOU,20,0,110.0,16.0,21.0,7.0,29.4,,60.0
1978,Dave Twardzik,PG,27,POR,75,0,1820.0,667.0,134.0,244.0,59.2,,78.2
1978,Alex English*,SF,24,MIL,82,0,1552.0,790.0,395.0,129.0,54.2,,72.7
1978,Bingo Smith,SG,31,CLE,82,0,1581.0,846.0,207.0,91.0,43.9,,80.0
1978,Steve Kuberski,PF,30,BOS,3,0,14.0,2.0,6.0,0.0,25.0,,0.0
1978,Gar Heard,PF,29,PHO,80,0,2099.0,620.0,652.0,132.0,42.4,,61.2
1978,Adrian Dantley*,SF,21,IND,23,0,948.0,609.0,216.0,65.0,49.9,,78.7
1978,Ted McClain,PG,31,PHI,29,0,293.0,91.0,37.0,34.0,43.8,,70.0
1978,Fred Saunders,SF,26,BOS,26,0,243.0,74.0,37.0,11.0,33.0,,82.4
1978,Henry Bibby,PG,28,PHI,82,0,2518.0,743.0,251.0,464.0,43.4,,78.1
1978,Junior Bridgeman,SF,24,MIL,82,0,1876.0,1118.0,290.0,175.0,50.3,,81.0
1978,Wally Walker,SF,23,POR,9,0,101.0,43.0,17.0,8.0,46.3,,62.5
1978,Gus Gerard,SF,24,BUF,10,0,85.0,43.0,14.0,9.0,40.0,,73.3
1979,Frankie Sanders,SF,22,BOS,24,0,216.0,132.0,51.0,17.0,46.2,,81.5
1979,Scott Lloyd,C,26,CHI,67,0,465.0,111.0,93.0,32.0,35.0,,57.4
1979,Coby Dietrick,C,30,SAS,76,0,1487.0,497.0,315.0,198.0,52.3,,79.8
1979,Wally Walker,SF,24,SEA,60,0,969.0,394.0,177.0,69.0,49.0,,60.4
1979,Winford Boynes,SG,21,NJN,69,0,1176.0,645.0,155.0,75.0,43.0,,78.7
1979,Bob Wilkerson,SF,24,DEN,80,0,2425.0,911.0,414.0,284.0,45.6,,68.8
1979,Terry Tyler,PF,22,DET,82,0,2560.0,1056.0,648.0,89.0,48.2,,65.8
1979,Gail Goodrich*,SG,35,NOJ,74,0,2130.0,938.0,183.0,357.0,44.9,,85.3
1979,Lucius Allen,PG,31,KCK,31,0,413.0,157.0,46.0,44.0,39.7,,57.6
1979,Fred Brown,PG,30,SEA,77,0,1961.0,1075.0,172.0,260.0,46.9,,88.8
1979,Charlie Criss,PG,30,ATL,54,0,879.0,285.0,60.0,138.0,37.7,,77.9
1979,Eric Money,PG,23,PHI,23,0,545.0,272.0,37.0,82.0,54.8,,63.0
1979,Truck Robinson,PF,27,TOT,69,0,2537.0,1456.0,802.0,113.0,49.1,,70.1
1979,Jo Jo,PG,32,BOS,47,0,1455.0,589.0,128.0,214.0,42.8,,88.8
1980,Sidney Moncrief,SG,22,MIL,77,0,1557.0,654.0,338.0,133.0,46.8,,79.5
1980,Pete Maravich*,SG,32,BOS,26,4,442.0,299.0,38.0,29.0,49.4,75.0,90.9
1980,Scott May,SF,25,CHI,54,0,1298.0,672.0,218.0,104.0,45.0,,83.7
1980,Ron Carter,SG,23,IND,13,0,117.0,32.0,19.0,9.0,40.5,,28.6
1980,Toby Knight,SF,24,NYK,81,0,2945.0,1549.0,493.0,150.0,52.9,,80.8
1980,Gar Heard,PF,31,PHO,82,0,1403.0,406.0,380.0,97.0,41.7,,74.4
1980,Brad Davis,PG,24,IND,5,0,43.0,7.0,2.0,5.0,28.6,,75.0
1980,Lionel Hollins,SG,26,PHI,27,0,796.0,329.0,69.0,112.0,41.5,20.0,77.0
1980,Bob Carrington,SG,26,SDC,10,0,134.0,36.0,13.0,3.0,40.5,,75.0
1980,John Lucas,PG,26,GSW,80,0,2763.0,1010.0,220.0,602.0,46.7,28.6,76.8
1980,Marvin Barnes,PF,27,SDC,20,0,287.0,64.0,77.0,18.0,40.0,,50.0
1980,Jack Givens,SF,23,ATL,82,0,1254.0,470.0,242.0,59.0,38.5,,82.8
1980,Don Buse,PG,29,PHO,81,0,2499.0,626.0,233.0,320.0,44.3,24.1,66.4
1980,Jo Jo,PG,33,GSW,78,0,2052.0,770.0,181.0,239.0,47.6,16.7,85.1
1981,Darwin Cook,SG,22,NJN,81,0,1980.0,904.0,236.0,297.0,46.8,24.0,73.3
1981,Reggie Carter,SG,23,NYK,60,0,536.0,169.0,69.0,76.0,33.0,,73.9
1981,Kiki Vandeweghe,SF,22,DEN,51,0,1376.0,588.0,270.0,94.0,42.6,,81.8
1981,Marques Johnson,SF,24,MIL,76,0,2542.0,1541.0,518.0,346.0,55.2,,70.6
1981,Geoff Huston,PG,23,DAL,56,0,1892.0,899.0,99.0,277.0,48.8,25.0,69.2
1981,John Shumate,PF,28,SEA,2,0,8.0,2.0,1.0,0.0,0.0,,66.7
1981,Robert Parish*,C,27,BOS,82,78,2298.0,1552.0,777.0,144.0,54.5,,71.0
1981,Clemon Johnson,C,24,IND,81,0,1643.0,582.0,468.0,144.0,50.4,,59.3
1981,John Mengelt,SG,31,GSW,2,0,11.0,0.0,0.0,2.0,0.0,,0.0
1981,Richard Washington,PF,25,CLE,69,0,1505.0,681.0,369.0,113.0,45.9,50.0,75.0
1981,Ron Davis,SF,26,SDC,64,0,817.0,374.0,119.0,47.0,44.3,25.0,59.5
1981,Gus Gerard,SF,27,SAS,11,0,129.0,52.0,38.0,9.0,36.7,,72.7
1981,Joe Hassett,SG,25,TOT,41,0,714.0,356.0,68.0,74.0,42.1,34.0,81.0
1981,Hawkeye Whitney,SG,23,KCK,47,0,782.0,350.0,106.0,68.0,48.7,33.3,76.9
1981,Chad Kinch,SG,22,TOT,41,0,353.0,118.0,33.0,45.0,36.9,,77.8
1982,Don Collins,SG,23,WSB,79,18,1609.0,790.0,196.0,148.0,51.1,8.3,71.6
